Z,Pitch,Roll,Volume,Area,VCx,VCy,VCz,ACx,ACy,ACz
-0.11,-12,0,0.024170003240271767,0.24773886997911632,1.4632877111434937,-1.603952703987943e-08,-0.15688610076904297,1.729344367980957,5.093307109405032e-09,-0.1997063010931015
-0.11,-12,1,0.024189052641296838,0.2508628357860516,1.46300208568573,0.0029132203198969364,-0.1568840742111206,1.7268658876419067,-0.00361774698831141,-0.19886751472949982
-0.11,-12,2,0.024246081119106762,0.25658831957753137,1.4621469974517822,0.0058282772079110146,-0.15687818825244904,1.719399094581604,-0.0014570447383448482,-0.19746603071689606
-0.11,-12,3,0.024341396311965285,0.2588371058895973,1.4607187509536743,0.0087500661611557,-0.15686798095703125,1.7131824493408203,0.0026426769327372313,-0.19656330347061157
-0.11,-12,4,0.024475084685182676,0.25725722028346354,1.45871901512146,0.011682447046041489,-0.15685439109802246,1.714021921157837,0.0045151845552027225,-0.19672635197639465
-0.11,-12,6,0.02486005673685441,0.2593469565149462,1.4529820680618286,0.017591966316103935,-0.15681488811969757,1.7152559757232666,0.0078446539118886,-0.1971941888332367
-0.11,-12,8,0.025402934188453845,0.28056802542283776,1.4449570178985596,0.02358032763004303,-0.1567678153514862,1.6954030990600586,0.008327940478920937,-0.19404062628746033
-0.11,-12,10,0.02610610144503366,0.29592017588765884,1.4346932172775269,0.02965771220624447,-0.15672512352466583,1.6801854372024536,0.012332494370639324,-0.1926788091659546
-0.11,-12,12,0.026972169954434223,0.32427384290895134,1.422251582145691,0.03583085536956787,-0.15669944882392883,1.661731481552124,0.017160408198833466,-0.1887655258178711
-0.11,-12,16,0.029166777911126044,0.35269291876556963,1.3920007944107056,0.04810624569654465,-0.15679620206356049,1.6207852363586426,0.02906617894768715,-0.18673823773860931
-0.11,-12,20,0.031920068355782316,0.38610607207453995,1.3568706512451172,0.05964760482311249,-0.1572195291519165,1.5928562879562378,0.03788156807422638,-0.18675601482391357
-0.11,-12,24,0.035198870340235264,0.4104939561766514,1.3184514045715332,0.0701557919383049,-0.15800490975379944,1.5715807676315308,0.047007471323013306,-0.18923696875572205
-0.11,-8,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,10,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,16,2.3943953411255283e-05,0.013443158965287694,1.9588184356689453,0.09443007409572601,-0.1965506374835968,1.8641157150268555,0.08279038965702057,-0.17986555397510529
-0.11,-8,20,0.0007391537758507867,0.13150002000851657,1.6492758989334106,0.09568652510643005,-0.15971660614013672,1.5666191577911377,0.08951131999492645,-0.14359496533870697
-0.11,-8,24,0.002855981555476761,0.24524902448732255,1.4577933549880981,0.1239936500787735,-0.1501331776380539,1.3863393068313599,0.11322586983442307,-0.1308567374944687
-0.11,-6,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,10,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,16,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,20,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-4,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-4,1,0.0,0,nan,nan,nan,nan,nan,nan
