K T-A(k) T-B(k) Q-A(k) Q-B(k)
0 1.8891E+00 0.0000E+00 -6.2730E+00 0.0000E+00
1 2.8033E+01 -6.5683E+01 -5.9067E+01 1.3718E+02
2 1.8860E+00 -2.3066E-01 3.4811E+00 -6.0201E-02
3 5.9973E-01 7.4446E+00 -4.3989E+00 -2.0555E+01
4 -1.0858E+00 -1.2398E+00 -4.0520E-01 3.3632E+00
5 -6.4362E+00 4.7921E+00 1.1843E+01 -8.9586E+00
6 -1.5631E-01 7.1695E-01 3.0860E+00 -2.6638E+00
7 5.0311E+00 3.4276E-02 -1.3137E+01 -9.8190E-01
8 -6.3924E-02 -2.9434E-01 -1.4057E+00 2.2511E+00
9 -2.0315E+00 2.0101E+00 5.6834E+00 -8.7269E-01
10 6.0866E-01 2.7097E-01 2.6129E-01 -3.1696E+00
11 1.8917E+00 1.6480E-01 -4.5913E+00 -3.3156E+00
12 -4.1935E-01 -1.7983E-01 -5.8107E-01 2.1286E+00
13 6.7181E-01 1.0989E+00 -1.2353E-01 -1.0776E+00
14 6.4230E-01 -1.6326E-01 -1.6486E+00 -1.3561E+00
15 7.2715E-01 -1.3135E+00 -4.3524E+00 2.0842E+00
16 -1.7483E-01 -3.0559E-03 9.5606E-01 2.0193E+00
17 1.7548E-01 4.6619E-01 2.0063E+00 3.3011E-01
18 3.5480E-01 -3.9988E-01 -6.7764E-01 -1.0371E+00
19 7.9700E-02 -7.4616E-01 -2.0860E+00 1.3432E+00
20 -9.9109E-02 1.8552E-02 1.0021E-01 1.2629E+00
21 2.2019E-01 -9.1938E-02 1.4317E+00 3.9292E-01
22 -4.7530E-02 -4.1697E-01 -4.0246E-01 -1.5316E-01
23 -5.2461E-01 -3.0539E-01 -3.4768E-01 1.2626E+00
24 5.3469E-02 1.4211E-01 1.1234E+00 1.1060E+00
25 9.9510E-02 6.3486E-02 1.8220E+00 -7.6676E-01
26 -1.6191E-01 -2.7402E-01 -3.4224E-01 -7.1063E-01
27 -3.4163E-01 9.2732E-03 -6.7856E-01 7.8099E-02
28 2.5212E-02 1.1064E-01 8.9990E-01 7.0479E-01
29 4.6286E-03 -1.7769E-02 8.4620E-01 -6.6394E-01
30 -2.0432E-01 6.4717E-03 -8.4567E-02 -6.1846E-01
