Beta C_T^* C_Q^*
0.000000000000000000e+00 3.124651660000000164e-01 6.706228699999999820e-02
1.750190893364787087e-02 3.054600461902478026e-01 6.604875370651516753e-02
3.500381786729574174e-02 2.988437102338225015e-01 6.522695876090744971e-02
5.250572680094361261e-02 2.928262753414153097e-01 6.450474205605345734e-02
7.000763573459148348e-02 2.872939539153375188e-01 6.373766248088331976e-02
8.750954466823934741e-02 2.819081144623534763e-01 6.277859656906240038e-02
1.050114536018872252e-01 2.762436045505583526e-01 6.152170377239141175e-02
1.225133625355351030e-01 2.699281815749535740e-01 5.993015300427893127e-02
1.400152714691829670e-01 2.627483200712308342e-01 5.804209996984824316e-02
1.575171804028308309e-01 2.546982219161823546e-01 5.595546095678907011e-02
1.750190893364786948e-01 2.459652162391142982e-01 5.379745971079818306e-02
1.925209982701265865e-01 2.368615637340409641e-01 5.168840173538796767e-02
2.100229072037744504e-01 2.277257532784635885e-01 4.970990488139337415e-02
2.275248161374223144e-01 2.188226357095544028e-01 4.788587143125216244e-02
2.450267250710702061e-01 2.102699950856659061e-01 4.618050712643770317e-02
2.625286340047180422e-01 2.020103184207908964e-01 4.451284218519103997e-02
2.800305429383659339e-01 1.938332662013987906e-01 4.278281055502922148e-02
2.975324518720138256e-01 1.854403511721432196e-01 4.090112518873811887e-02
3.150343608056616618e-01 1.765323029292819312e-01 3.881460158493005991e-02
3.325362697393095535e-01 1.668942927238062091e-01 3.652026035001838811e-02
3.500381786729573896e-01 1.564557608741537764e-01 3.406491540851527833e-02
3.675400876066052813e-01 1.453093210346053377e-01 3.153104161469041239e-02
3.850419965402531730e-01 1.336848088802359835e-01 2.901338830549920686e-02
4.025439054739010092e-01 1.218867642345401320e-01 2.659310231699689789e-02
4.200458144075489009e-01 1.102132061360527326e-01 2.431649456777950150e-02
4.375477233411967926e-01 9.887802196161185608e-02 2.218401623253622376e-02
4.550496322748446287e-01 8.795762981229941768e-02 2.015200952549986435e-02
4.725515412084925204e-01 7.737543682838084191e-02 1.814623127396743779e-02
4.900534501421404121e-01 6.692709041753644450e-02 1.608299719237203315e-02
5.075553590757883038e-01 5.633852568912811609e-02 1.389189207755769928e-02
5.250572680094360845e-01 4.534030302724478129e-02 1.153379975179032006e-02
5.425591769430839761e-01 3.373789999976118531e-02 9.009513166675276255e-03
5.600610858767318678e-01 2.145934723331091587e-02 6.356920871058839920e-03
5.775629948103797595e-01 8.568240762157905768e-03 3.637949060688491689e-03
5.950649037440276512e-01 -4.760210377273139774e-03 9.191941715118261396e-04
6.125668126776754319e-01 -1.829250547337199495e-02 -1.748220048408143145e-03
6.300687216113233236e-01 -3.180437016705170428e-02 -4.343978907099518838e-03
6.475706305449712152e-01 -4.514403579896960478e-02 -6.884991534192295461e-03
6.650725394786191069e-01 -5.827462498889076498e-02 -9.421309653791837616e-03
6.825744484122669986e-01 -7.128516082371672002e-02 -1.202287418389146045e-02
7.000763573459147793e-01 -8.436846753473779825e-02 -1.476087912749346129e-02
