Z,Pitch,Roll,Volume,Area,VCx,VCy,VCz,ACx,ACy,ACz
-0.11,-12,-24,0.001929873186940937,0.06923269263359955,0.5788800120353699,-0.3975432813167572,-0.15798935294151306,0.577796220779419,-0.3981856405735016,-0.15289439260959625
-0.11,-12,-18,0.00037948370124810566,0.02332650948585524,0.6228609085083008,-0.42385101318359375,-0.14692045748233795,0.643843948841095,-0.40234696865081787,-0.1439204216003418
-0.11,-12,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-12,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,-24,0.0005004952277983663,0.0245419879716664,0.5835842490196228,-0.43516436219215393,-0.1475449800491333,0.6011703014373779,-0.4273206889629364,-0.1456502377986908
-0.11,-8,-18,4.101173798061642e-09,6.448598057318122e-06,0.6790837645530701,-0.476245641708374,-0.13623175024986267,0.6649978756904602,-0.4669359028339386,-0.13349545001983643
-0.11,-8,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-8,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,-24,0.00012526919896501898,0.0068943682693287656,0.5940893888473511,-0.4542214572429657,-0.14147017896175385,0.5977006554603577,-0.4607405960559845,-0.14331921935081482
-0.11,-6,-18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,-12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,-8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,-6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,-4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,-3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,-2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,-1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,0,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,1,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,2,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,3,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,4,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,6,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,8,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,12,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,18,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-6,24,0.0,0,nan,nan,nan,nan,nan,nan
-0.11,-4,-24,2.740719452963212e-06,0.0005334200431406089,0.6317788362503052,-0.468431293964386,-0.13498994708061218,0.6269287467002869,-0.4718535840511322,-0.13557150959968567
