Alpha CL CD
-1.800000000000000000e+02 2.449293598294706414e-16 4.388706287272726327e-10
-1.789972144846796596e+02 3.499667013317261238e-02 4.594288254423682183e-04
-1.779944289693593191e+02 6.995046437017343743e-02 1.837150982981878905e-03
-1.769916434540390071e+02 1.048185593439011354e-01 4.131479007583140246e-03
-1.759888579387186667e+02 1.395582366810349806e-01 7.339602024316238017e-03
-1.749860724233983262e+02 1.741269353381127427e-01 1.145758962916872299e-02
-1.739832869080779858e+02 2.084823037448657601e-01 1.648039670593807668e-02
-1.729805013927576738e+02 2.425822516909063586e-01 2.240186960628836460e-02
-1.719777158774373333e+02 2.763850018922253682e-01 2.921475368840785111e-02
-1.709749303621169929e+02 3.098491411743015678e-01 3.691070220679116415e-02
-1.699721448467966525e+02 3.429336712091263784e-01 4.548028653724932313e-02
-1.689693593314763120e+02 3.755980587439857743e-01 5.491300772853715401e-02
-1.679665738161560000e+02 4.078022852604588633e-01 6.519730936558486289e-02
-1.669637883008356596e+02 4.395068960027904703e-01 7.632059172685548565e-02
-1.659610027855153191e+02 4.706730483155736611e-01 8.826922722325980519e-02
-1.649582172701949787e+02 5.012625592315299583e-01 1.010285770918746551e-01
-1.639554317548746667e+02 5.312379522510665142e-01 1.145830093321491827e-01
-1.629526462395543263e+02 5.605625032563212873e-01 1.289159178575131626e-01
-1.619498607242339858e+02 5.892002855034255138e-01 1.440097428403174784e-01
-1.609470752089136454e+02 6.171162136378717245e-01 1.598459922257643440e-01
-1.599442896935933049e+02 6.442760866790615548e-01 1.764052643886581395e-01
-1.589415041782729929e+02 6.706466299213712512e-01 1.936672719023487532e-01
-1.579387186629526525e+02 6.961955357003944966e-01 2.116108663964279823e-01
-1.569359331476323121e+02 7.208915029744228375e-01 2.302140644656220092e-01
-1.559331476323119716e+02 7.447042756726754975e-01 2.494540746053114655e-01
-1.549303621169916596e+02 7.676046797632832819e-01 2.693073251341157603e-01
-1.539275766016713192e+02 7.895646589956286654e-01 2.897494930755977194e-01
-1.529247910863509787e+02 8.105573092732397678e-01 3.107555339581778431e-01
-1.519220055710306383e+02 8.305569116151322318e-01 3.322997125005191510e-01
-1.509192200557102979e+02 8.495389636652184162e-01 3.543556341431546852e-01
-1.499164345403899574e+02 8.674802097111785626e-01 3.768962773885516371e-01
-1.489136490250696454e+02 8.843586691760108032e-01 3.998940269087457589e-01
-1.479108635097493050e+02 9.001536635473661452e-01 4.233207073828881839e-01
-1.469080779944289645e+02 9.148458417116646091e-01 4.471476180193348360e-01
-1.459052924791086525e+02 9.284172036619591228e-01 4.713455677236518815e-01
-1.449025069637883121e+02 9.408511225505055142e-01 4.958849108672599426e-01
-1.438997214484679716e+02 9.521323650590131082e-01 5.207355836140390437e-01
-1.428969359331476312e+02 9.622471100616249995e-01 5.458671407611044302e-01
-1.418941504178272908e+02 9.711829655577630671e-01 5.712487930461819241e-01
-1.408913649025069503e+02 9.789289838540896627e-01 5.968494448801520136e-01
-1.398885793871866383e+02 9.854756749769890689e-01 6.226377324549656755e-01
-1.388857938718662979e+02 9.908150182991337651e-01 6.485820621818160214e-01
-1.378830083565459574e+02 9.949404723658928917e-01 6.746506494144289823e-01
-1.368802228412256454e+02 9.978469829095448773e-01 7.008115574066561271e-01
-1.358774373259053050e+02 9.995309890414731946e-01 7.270327364617612531e-01
-1.348746518105849646e+02 9.999904276147617566e-01 7.532820632211142398e-01
-1.338718662952646241e+02 9.992247357518426742e-01 7.795273800474918913e-01
-1.328690807799442837e+02 9.972348515341015185e-01 8.057365344553233388e-01
