Alpha CL CD
-1.800000000000000000e+02 2.449293598294706414e-16 9.866060191043857230e-10
-1.789972144846796596e+02 3.499667013317261238e-02 6.125722374683942621e-04
-1.779944289693593191e+02 6.995046437017343743e-02 2.449535194289926675e-03
-1.769916434540390071e+02 1.048185593439011354e-01 5.508639321241187367e-03
-1.759888579387186667e+02 1.395582366810349806e-01 9.786136787013406668e-03
-1.749860724233983262e+02 1.741269353381127427e-01 1.527678705597125194e-02
-1.739832869080779858e+02 2.084823037448657601e-01 2.197386330915186703e-02
-1.729805013927576738e+02 2.425822516909063586e-01 2.986916068548480310e-02
-1.719777158774373333e+02 2.763850018922253682e-01 3.895300633450458211e-02
-1.709749303621169929e+02 3.098491411743015678e-01 4.921427126679894792e-02
-1.699721448467966525e+02 3.429336712091263784e-01 6.064038398917988987e-02
-1.689693593314763120e+02 3.755980587439857743e-01 7.321734590666696685e-02
-1.679665738161560000e+02 4.078022852604588633e-01 8.692974847371660874e-02
-1.669637883008356596e+02 4.395068960027904703e-01 1.017607920716429859e-01
-1.659610027855153191e+02 4.706730483155736611e-01 1.176923065916444522e-01
-1.649582172701949787e+02 5.012625592315299583e-01 1.347047736960278741e-01
-1.639554317548746667e+02 5.312379522510665142e-01 1.527773507322360003e-01
-1.629526462395543263e+02 5.605625032563212873e-01 1.718878962683329514e-01
-1.619498607242339858e+02 5.892002855034255138e-01 1.920129972207109681e-01
-1.609470752089136454e+02 6.171162136378717245e-01 2.131279975399322790e-01
-1.599442896935933049e+02 6.442760866790615548e-01 2.352070284187091909e-01
-1.589415041782729929e+02 6.706466299213712512e-01 2.582230399869381854e-01
-1.579387186629526525e+02 6.961955357003944966e-01 2.821478344532679094e-01
-1.569359331476323121e+02 7.208915029744228375e-01 3.069521006536419794e-01
-1.559331476323119716e+02 7.447042756726754975e-01 3.326054499641558637e-01
-1.549303621169916596e+02 7.676046797632832819e-01 3.590764535344341812e-01
-1.539275766016713192e+02 7.895646589956286654e-01 3.863326807957274678e-01
-1.529247910863509787e+02 8.105573092732397678e-01 4.143407391969571862e-01
-1.519220055710306383e+02 8.305569116151322318e-01 4.430663151197098970e-01
-1.509192200557102979e+02 8.495389636652184162e-01 4.724742159228678129e-01
-1.499164345403899574e+02 8.674802097111785626e-01 5.025284130645304437e-01
-1.489136490250696454e+02 8.843586691760108032e-01 5.331920862491107416e-01
-1.479108635097493050e+02 9.001536635473661452e-01 5.644276685457644271e-01
-1.469080779944289645e+02 9.148458417116646091e-01 5.961968924225319322e-01
-1.459052924791086525e+02 9.284172036619591228e-01 6.284608366405476376e-01
-1.449025069637883121e+02 9.408511225505055142e-01 6.611799739506809548e-01
-1.438997214484679716e+02 9.521323650590131082e-01 6.943142195347420387e-01
-1.428969359331476312e+02 9.622471100616249995e-01 7.278229801318374381e-01
-1.418941504178272908e+02 9.711829655577630671e-01 7.616652037906650463e-01
-1.408913649025069503e+02 9.789289838540896627e-01 7.957994301861305297e-01
-1.398885793871866383e+02 9.854756749769890689e-01 8.301838414405532385e-01
-1.388857938718662979e+02 9.908150182991337651e-01 8.647763133861424700e-01
-1.378830083565459574e+02 9.949404723658928917e-01 8.995344672079877979e-01
-1.368802228412256454e+02 9.978469829095448773e-01 9.344157214037882575e-01
-1.358774373259053050e+02 9.995309890414731946e-01 9.693773439982933393e-01
-1.348746518105849646e+02 9.999904276147617566e-01 1.004376504948990556e+00
-1.338718662952646241e+02 9.992247357518426742e-01 1.039370328679690259e+00
-1.328690807799442837e+02 9.972348515341015185e-01 1.074315946679566869e+00
-1.318662952646239432e+02 9.940232128525946509e-01 1.109170550103663277e+00
-1.308635097493036312e+02 9.895937544212854986e-01 1.143891442312282125e+00
-1.298607242339832908e+02 9.839519029564604002e-01 1.178436091287311971e+00
-1.288579387186629504e+02 9.771045705282310756e-01 1.212762181861802402e+00
