Alpha CL CD
-1.800000000000000000e+02 2.449293598294706414e-16 1.190279953544592933e-09
-1.789972144846796596e+02 3.499667013317261238e-02 6.125724737335719317e-04
-1.779944289693593191e+02 6.995046437017343743e-02 2.449535472569829703e-03
-1.769916434540390071e+02 1.048185593439011354e-01 5.508639646643330098e-03
-1.759888579387186667e+02 1.395582366810349806e-01 9.786137165528029092e-03
-1.749860724233983262e+02 1.741269353381127427e-01 1.527678749942048414e-02
-1.739832869080779858e+02 2.084823037448657601e-01 2.197386382946989528e-02
-1.729805013927576738e+02 2.425822516909063586e-01 2.986916129562907848e-02
-1.719777158774373333e+02 2.763850018922253682e-01 3.895300704848243117e-02
-1.709749303621169929e+02 3.098491411743015678e-01 4.921427210250581274e-02
-1.699721448467966525e+02 3.429336712091263784e-01 6.064038496721373128e-02
-1.689693593314763120e+02 3.755980587439857743e-01 7.321734704880018818e-02
-1.679665738161560000e+02 4.078022852604588633e-01 8.692974981107438881e-02
-1.669637883008356596e+02 4.395068960027904703e-01 1.017607936357192017e-01
-1.659610027855153191e+02 4.706730483155736611e-01 1.176923084202633196e-01
-1.649582172701949787e+02 5.012625592315299583e-01 1.347047758351510027e-01
-1.639554317548746667e+02 5.312379522510665142e-01 1.527773532330289619e-01
-1.629526462395543263e+02 5.605625032563212873e-01 1.718878991929803923e-01
-1.619498607242339858e+02 5.892002855034255138e-01 1.920130006381402799e-01
-1.609470752089136454e+02 6.171162136378717245e-01 2.131280015353333168e-01
-1.599442896935933049e+02 6.442760866790615548e-01 2.352070330883931359e-01
-1.589415041782729929e+02 6.706466299213712512e-01 2.582230454430978761e-01
-1.579387186629526525e+02 6.961955357003944966e-01 2.821478408287070860e-01
-1.569359331476323121e+02 7.208915029744228375e-01 3.069521081012659414e-01
-1.559331476323119716e+02 7.447042756726754975e-01 3.326054586632856691e-01
-1.549303621169916596e+02 7.676046797632832819e-01 3.590764636959108413e-01
-1.539275766016713192e+02 7.895646589956286654e-01 3.863326926610772816e-01
-1.529247910863509787e+02 8.105573092732397678e-01 4.143407530533640415e-01
-1.519220055710306383e+02 8.305569116151322318e-01 4.430663312960447797e-01
-1.509192200557102979e+02 8.495389636652184162e-01 4.724742348062251907e-01
-1.499164345403899574e+02 8.674802097111785626e-01 5.025284351047337728e-01
-1.489136490250696454e+02 8.843586691760108032e-01 5.331921119720884894e-01
-1.479108635097493050e+02 9.001536635473661452e-01 5.644276985613653208e-01
-1.469080779944289645e+02 9.148458417116646091e-01 5.961969274434190114e-01
-1.459052924791086525e+02 9.284172036619591228e-01 6.284608774952009647e-01
-1.449025069637883121e+02 9.408511225505055142e-01 6.611800216047650780e-01
-1.438997214484679716e+02 9.521323650590131082e-01 6.943142751137049151e-01
-1.428969359331476312e+02 9.622471100616249995e-01 7.278230449423929160e-01
-1.418941504178272908e+02 9.711829655577630671e-01 7.616652793581933922e-01
-1.408913649025069503e+02 9.789289838540896627e-01 7.957995182835982950e-01
-1.398885793871866383e+02 9.854756749769890689e-01 8.301839441318243917e-01
-1.388857938718662979e+02 9.908150182991337651e-01 8.647764330724491133e-01
-1.378830083565459574e+02 9.949404723658928917e-01 8.995346066832489162e-01
-1.368802228412256454e+02 9.978469829095448773e-01 9.344158839169254271e-01
-1.358774373259053050e+02 9.995309890414731946e-01 9.693775333298815244e-01
-1.348746518105849646e+02 9.999904276147617566e-01 1.004376725494588785e+00
-1.338718662952646241e+02 9.992247357518426742e-01 1.039370585549280523e+00
-1.328690807799442837e+02 9.972348515341015185e-01 1.074316245816049342e+00
-1.318662952646239432e+02 9.940232128525946509e-01 1.109170898412478623e+00
-1.308635097493036312e+02 9.895937544212854986e-01 1.143891847821853602e+00
-1.298607242339832908e+02 9.839519029564604002e-01 1.178436563324159803e+00
-1.288579387186629504e+02 9.771045705282310756e-01 1.212762731265745852e+00
-1.278551532033426241e+02 9.690601460922640964e-01 1.246828307063812424e+00
-1.268523676880222837e+02 9.598284852121188315e-01 1.280591566928908964e+00
-1.258495821727019575e+02 9.494208979847814645e-01 1.314011159207227886e+00
-1.248467966573816170e+02 9.378501351841862510e-01 1.347046155311961257e+00
-1.238440111420612766e+02 9.251303726397073213e-01 1.379656100172645727e+00
-1.228412256267409504e+02 9.112771938687510564e-01 1.411801062145670027e+00
-1.218384401114206241e+02 8.963075709847310168e-01 1.443441682343249211e+00
-1.208356545961002837e+02 8.802398439038175981e-01 1.474539223309315084e+00
-1.198328690807799433e+02 8.630936978759337075e-01 1.505055617011417324e+00
-1.188300835654596028e+02 8.448901393675228855e-01 1.534953512079190174e+00
-1.178272980501392766e+02 8.256514703256450094e-01 1.564196320261109996e+00
-1.168245125348189504e+02 8.054012608549169228e-01 1.592748262037234408e+00
-1.158217270194986099e+02 7.841643203407852036e-01 1.620574411361126232e+00
-1.148189415041782695e+02 7.619666670545032217e-01 1.647640739481039507e+00
-1.138161559888579433e+02 7.388354962770485868e-01 1.673914157807214087e+00
-1.128133704735376028e+02 7.147991469810366372e-01 1.699362559796093519e+00
-1.118105849582172766e+02 6.898870671114527564e-01 1.723954861820666817e+00
-1.108077994428969362e+02 6.641297775077308341e-01 1.747661042994195890e+00
-1.098050139275766099e+02 6.375588345113893940e-01 1.770452183942110791e+00
-1.088022284122562695e+02 6.102067913050222003e-01 1.792300504495163427e+00
-1.077994428969359433e+02 5.821071580300271053e-01 1.813179400293428944e+00
-1.067966573816156028e+02 5.532943607319140700e-01 1.833063478303981864e+00
-1.057938718662952624e+02 5.238036991835081091e-01 1.851928591247796296e+00
