Alpha CL CD
-1.800000000000000000e+02 2.449293598294706414e-16 1.111210718995891900e-09
-1.789972144846796596e+02 3.499667013317261238e-02 6.125723834780531611e-04
-1.779944289693593191e+02 6.995046437017343743e-02 2.449535365328226084e-03
-1.769916434540390071e+02 1.048185593439011354e-01 5.508639521723916743e-03
-1.759888579387186667e+02 1.395582366810349806e-01 9.786137021746830339e-03
-1.749860724233983262e+02 1.741269353381127427e-01 1.527678733100723378e-02
-1.739832869080779858e+02 2.084823037448657601e-01 2.197386363094631229e-02
-1.729805013927576738e+02 2.425822516909063586e-01 2.986916106220389305e-02
-1.719777158774373333e+02 2.763850018922253682e-01 3.895300677555622870e-02
-1.709749303621169929e+02 3.098491411743015678e-01 4.921427178313582396e-02
-1.699721448467966525e+02 3.429336712091263784e-01 6.064038459312635215e-02
-1.689693593314763120e+02 3.755980587439857743e-01 7.321734661326829985e-02
-1.679665738161560000e+02 4.078022852604588633e-01 8.692974930059317595e-02
-1.669637883008356596e+02 4.395068960027904703e-01 1.017607930385823617e-01
-1.659610027855153191e+02 4.706730483155736611e-01 1.176923077226479930e-01
-1.649582172701949787e+02 5.012625592315299583e-01 1.347047750187616855e-01
-1.639554317548746667e+02 5.312379522510665142e-01 1.527773522789966643e-01
-1.629526462395543263e+02 5.605625032563212873e-01 1.718878980767132580e-01
-1.619498607242339858e+02 5.892002855034255138e-01 1.920129993351762099e-01
-1.609470752089136454e+02 6.171162136378717245e-01 2.131280000114509909e-01
-1.599442896935933049e+02 6.442760866790615548e-01 2.352070313074900720e-01
-1.589415041782729929e+02 6.706466299213712512e-01 2.582230433629394417e-01
-1.579387186629526525e+02 6.961955357003944966e-01 2.821478383980809412e-01
-1.569359331476323121e+02 7.208915029744228375e-01 3.069521052628165214e-01
-1.559331476323119716e+02 7.447042756726754975e-01 3.326054553488029808e-01
-1.549303621169916596e+02 7.676046797632832819e-01 3.590764598241571459e-01
-1.539275766016713192e+02 7.895646589956286654e-01 3.863326881419276160e-01
-1.529247910863509787e+02 8.105573092732397678e-01 4.143407477762207636e-01
-1.519220055710306383e+02 8.305569116151322318e-01 4.430663251376576461e-01
-1.509192200557102979e+02 8.495389636652184162e-01 4.724742276192999690e-01
-1.499164345403899574e+02 8.674802097111785626e-01 5.025284267190918142e-01
-1.489136490250696454e+02 8.843586691760108032e-01 5.331921021880252631e-01
-1.479108635097493050e+02 9.001536635473661452e-01 5.644276871485686131e-01
-1.469080779944289645e+02 9.148458417116646091e-01 5.961969141320793142e-01
-1.459052924791086525e+02 9.284172036619591228e-01 6.284608619725321477e-01
-1.449025069637883121e+02 9.408511225505055142e-01 6.611800035062060932e-01
-1.438997214484679716e+02 9.521323650590131082e-01 6.943142540136691965e-01
-1.428969359331476312e+02 9.622471100616249995e-01 7.278230203497639828e-01
-1.418941504178272908e+02 9.711829655577630671e-01 7.616652506970745806e-01
-1.408913649025069503e+02 9.789289838540896627e-01 7.957994848871207116e-01
-1.398885793871866383e+02 9.854756749769890689e-01 8.301839052234738503e-01
-1.388857938718662979e+02 9.908150182991337651e-01 8.647763877502352425e-01
-1.378830083565459574e+02 9.949404723658928917e-01 8.995345538982907341e-01
-1.368802228412256454e+02 9.978469829095448773e-01 9.344158224514177435e-01
-1.358774373259053050e+02 9.995309890414731946e-01 9.693774617672149541e-01
-1.348746518105849646e+02 9.999904276147617566e-01 1.004376642190067725e+00
-1.338718662952646241e+02 9.992247357518426742e-01 1.039370488593557296e+00
-1.328690807799442837e+02 9.972348515341015185e-01 1.074316132989994399e+00
-1.318662952646239432e+02 9.940232128525946509e-01 1.109170767142348746e+00
-1.308635097493036312e+02 9.895937544212854986e-01 1.143891695117578378e+00
-1.298607242339832908e+02 9.839519029564604002e-01 1.178436385718773849e+00
-1.288579387186629504e+02 9.771045705282310756e-01 1.212762524733376868e+00
-1.278551532033426241e+02 9.690601460922640964e-01 1.246828066937230028e+00
-1.268523676880222837e+02 9.598284852121188315e-01 1.280591287793103383e+00
-1.258495821727019575e+02 9.494208979847814645e-01 1.314010834783778447e+00
-1.248467966573816170e+02 9.378501351841862510e-01 1.347045778322568221e+00
-1.238440111420612766e+02 9.251303726397073213e-01 1.379655662180210962e+00
-1.228412256267409504e+02 9.112771938687510564e-01 1.411800553374183531e+00
-1.218384401114206241e+02 8.963075709847310168e-01 1.443441091465165416e+00
-1.208356545961002837e+02 8.802398439038175981e-01 1.474538537204840516e+00
-1.198328690807799433e+02 8.630936978759337075e-01 1.505054820485335565e+00
-1.188300835654596028e+02 8.448901393675228855e-01 1.534952587539198721e+00
-1.178272980501392766e+02 8.256514703256450094e-01 1.564195247341548134e+00
-1.168245125348189504e+02 8.054012608549169228e-01 1.592747017169516610e+00
-1.158217270194986099e+02 7.841643203407852036e-01 1.620572967274733989e+00
-1.148189415041782695e+02 7.619666670545032217e-01 1.647639064629124128e+00
-1.138161559888579433e+02 7.388354962770485868e-01 1.673912215705825490e+00
-1.128133704735376028e+02 7.147991469810366372e-01 1.699360308261431474e+00
-1.118105849582172766e+02 6.898870671114527564e-01 1.723952252087388670e+00
-1.108077994428969362e+02 6.641297775077308341e-01 1.747658018705461114e+00
-1.098050139275766099e+02 6.375588345113893940e-01 1.770448679982264739e+00
-1.088022284122562695e+02 6.102067913050222003e-01 1.792296445645630953e+00
-1.077994428969359433e+02 5.821071580300271053e-01 1.813174699688577141e+00
-1.067966573816156028e+02 5.532943607319140700e-01 1.833058035652545659e+00
-1.057938718662952624e+02 5.238036991835081091e-01 1.851922290786722769e+00
-1.047910863509749362e+02 4.936713036377100572e-01 1.869744579086838998e+00
